,courtName,Column,region
525,Тернопільський апеляційний суд,24,тернопільська
526,Нововодолазький районний суд Харківської області,24,харківська
527,Новосанжарський районний суд Полтавської області,24,полтавська
528,Алуштинський міський суд Автономної Республіки Крим,24,крим
529,Піщанський районний суд Вінницької області,23,вінницька
530,Березанський районний суд Миколаївської області,23,миколаївська
531,Крижопільський районний суд Вінницької області,23,вінницька
532,Щорський районний суд Чернігівської області,23,чернігівська
533,Васильківський районний суд Дніпропетровської області,23,дніпропетровська
534,Красноградський районний суд Харківської області,23,харківська
535,Літинський районний суд Вінницької області,23,вінницька
536,Кодимський районний суд Одеської області,23,одеська
537,Ульяновський районний суд Кіровоградської області,23,кіровоградська
538,Арбузинський районний суд Миколаївської області,23,миколаївська
539,Новомиколаївський районний суд Запорізької області,23,запорізька
540,Казанківський районний суд Миколаївської області,22,миколаївська
541,Теплицький районний суд Вінницької області,22,вінницька
542,Феодосійський міський суд Автономної Республіки Крим,22,крим
543,Кам'янка-Бузький районний суд Львівської області,22,львівська
544,Жовтоводський міський суд Дніпропетровської області,22,дніпропетровська
545,Сімферопольський районний суд Автономної Республіки Крим,22,крим
546,Братський районний суд Миколаївської області,22,миколаївська
547,Новобузький районний суд Миколаївської області,22,миколаївська
548,Чорнобаївський районний суд Черкаської області,22,черкаська
549,Хмельницький апеляційний суд,21,хмельницька
550,Брусилівський районний суд Житомирської області,21,житомирська
551,Новгород-Сіверський районний суд Чернігівської області,21,чернігівська
552,Баришівський районний суд Київської області,21,київська
553,Радомишльський районний суд Житомирської області,21,житомирська
554,Широківський районний суд Дніпропетровської області,21,дніпропетровська
555,Ананьївський районний суд Одеської області,21,одеська
556,Димитровський міський суд Донецької області,21,донецька
557,Полтавський апеляційний суд,21,полтавська
558,Одеський апеляційний суд,21,одеська
559,Савранський районний суд Одеської області,20,одеська
560,Володарський районний суд Донецької області,20,донецька
561,Носівський районний суд Чернігівської області,20,чернігівська
562,Шишацький районний суд Полтавської області,20,полтавська
563,Апеляційний суд Івано-Франківської області,20,івано-Франківська
564,Заводський районний суд м. Запоріжжя,20,запорізька
565,Шацький районний суд Волинської області,19,волинська
566,Зіньківський районний суд Полтавської області,19,полтавська
567,Олександрівський районний суд Донецької області,19,донецька
568,Лохвицький районний суд Полтавської області,19,полтавська
569,Великобілозерський районний суд Запорізької області,19,запорізька
570,Комсомольський міський суд Полтавської області,19,полтавська
571,Володарсько-Волинський районний суд Житомирської області,19,волинська
572,Свалявський районний суд Закарпатської області,19,закарпатська
573,Антрацитівський міськрайонний суд Луганської області,18,луганська
574,Трускавецький міський суд Львівської області,18,львівська
575,Чернівецький районний суд Вінницької області,18,чернівецька
576,Балаклавський районний суд м. Севастополя,18,крим
577,Оржицький районний суд Полтавської області,18,полтавська
578,Кіровський міський суд Луганської області,18,луганська
579,Кузнецовський міський суд Рівненської області,18,рівненська
580,Хорольський районний суд Полтавської області,18,полтавська
581,Зарічненський районний суд Рівненської області,18,рівненська
582,Хортицький районний суд м. Запоріжжя,18,запорізька
583,Ємільчинський районний суд Житомирської області,18,житомирська
584,Першотравенський міський суд Дніпропетровської області,17,дніпропетровська
585,Краснодонський міськрайонний суд Луганської області,17,луганська
586,Ладижинський міський суд Вінницької області,17,вінницька
587,Коропський районний суд Чернігівської області,17,чернігівська
588,Вищий спеціалізований суд України,17,вищий спеціалізований суд україни
589,Куйбишевський районний суд м. Донецька,17,донецька
590,Кіровський районний суд м. Донецька,17,донецька
591,Царичанський районний суд Дніпропетровської області,17,дніпропетровська
592,Запорізький апеляційний суд,17,запорізька
593,Високопільський районний суд Херсонської області,17,херсонська
594,Дружківський міський суд Донецької області,16,донецька
595,Волинський апеляційний суд,16,волинська
596,Тростянецький районний суд Вінницької області,16,вінницька
597,Калінінський районний суд м. Донецька,16,донецька
598,Харківський апеляційний суд,16,харківська
599,Закарпатський апеляційний суд,16,закарпатська
600,Лугинський районний суд Житомирської області,16,житомирська
601,Червоногвардійський районний суд м. Макіївки,16,донецька
602,Кривоозерський районний суд Миколаївської області,15,дніпропетровська
603,Розівський районний суд Запорізької області,15,запорізька
604,Верхньорогачицький районний суд Херсонської області,15,херсонська
605,Шахтарський міськрайонний суд Донецької області,15,донецька
606,Миколаївський районний суд Одеської області,15,миколаївська
607,Южний міський суд Одеської області,15,одеська
608,Карлівський районний суд Полтавської області,15,полтавська
609,Чернівецький апеляційний суд,15,чернівецька
610,Ворошиловський районний суд м. Донецька,14,донецька
611,Печенізький районний суд Харківської області,14,харківська
612,Торезький міський суд Донецької області,14,донецька
613,Сакський міськрайонний суд Автономної Республіки Крим,14,крим
614,Джанкойський міськрайонний суд Автономної Республіки Крим,14,крим
615,Лисянський районний суд Черкаської області,14,черкаська
616,Доманівський районний суд Миколаївської області,14,миколаївська
617,Бобровицький районний суд Чернігівської області,14,чернігівська
618,Міловський районний суд Луганської області,13,луганська
619,Апеляційна палата Вищого антикорупційного суду,13,апеляційна палата вищого антикорупційного суду
620,Мурованокуриловецький районний суд Вінницької області,13,вінницька
621,Згурівський районний суд Київської області,13,київська
622,Яготинський районний суд Київської області,13,київська
623,Вінницький апеляційний суд,13,вінницька
624,Вищий антикорупційний суд,13,вищий антикорупційний суд
625,Вільшанський районний суд Кіровоградської області,13,кіровоградська
626,Красноокнянський районний суд Одеської області,13,одеська
627,Машівський районний суд Полтавської області,13,полтавська
628,Марганецький міський суд Дніпропетровської області,13,дніпропетровська
629,Березанський міський суд Київської області,13,київська
630,Саратський районний суд Одеської області,13,одеська
631,Червоноармійський районний суд Житомирської області,13,житомирська
632,Коломацький районний суд Харківської області,13,харківська
633,Білогірський районний суд Автономної Республіки Крим,13,крим
634,Рокитнянський районний суд Київської області,13,київська
635,Красноперекопський міськрайонний суд Автономної Республіки Крим,13,крим
636,Орджонікідзевський міський суд Дніпропетровської області,13,дніпропетровська
637,Котелевський районний суд Полтавської області,13,полтавська
638,Чуднівський районний суд Житомирської області,13,житомирська
639,Ватутінський міський суд Черкаської області,13,черкаська
640,Первомайський районний суд Автономної Республіки Крим,13,крим
641,Лутугинський районний суд Луганської області,12,луганська
642,Краснолуцький міський суд Луганської області,12,волинська
643,Чорноморський районний суд Автономної Республіки Крим,12,крим
644,Чорнухинський районний суд Полтавської області,12,полтавська
645,Славутицький міський суд Київської області,12,київська
646,Кропивницький апеляційний суд,12,кіровоградська
647,Чечельницький районний суд Вінницької області,11,вінницька
648,Сумський апеляційний суд,11,сумська
649,Херсонський апеляційний суд,11,херсонська
650,Христинівський районний суд Черкаської області,11,черкаська
651,Житомирський апеляційний суд,11,житомирська
652,Ясинуватський міськрайонний суд Донецької області,11,донецька
653,Миколаївський апеляційний суд,11,миколаївська
654,Калінінський районний суд м. Горлівки,11,донецька
655,Олевський районний суд Житомирської області,11,житомирська
656,Сніжнянський міський суд Донецької області,11,донецька
657,Куликівський районний суд Чернігівської області,11,чернігівська
658,Онуфріївський районний суд Кіровоградської області,11,кіровоградська
659,Вільногірський міський суд Дніпропетровської області,10,дніпропетровська
660,Микитівський районний суд м. Горлівки,10,донецька
661,Бориславський міський суд Львівської області,10,львівська
662,Вугледарський міський суд Донецької області,10,донецька
663,Новомосковський міськрайонний суд Дніпропетровського області,10,дніпропетровська
664,Донецький апеляційний суд,10,донецька
665,Кіровський райсуд м. Кіровограда,10,кіровоградська
666,Нетішинський міський суд Хмельницької області,10,хмельницька
667,Люботинський міський суд Харківської області,10,харківська
668,Судацький міський суд Автономної Республіки Крим,9,крим
669,Луганський апеляційний суд,9,луганська
670,Красногвардійський районний суд Автономної Республіки Крим,9,крим
671,Амвросіївський районний суд Донецької області,9,донецька
672,Ренійський районний суд Одеської області,9,одеська
673,Свердловський міський суд Луганської області,9,луганська
674,Алчевський міський суд Луганської області,8,луганська
675,Апеляційний суд м. Севастополя,8,крим
676,Новогродівський міський суд Донецької області,8,донецька
677,Ржищівський міський суд Київської області,8,київська
678,Ленінський районний суд м. Донецька,8,донецька
679,Талалаївський районний суд Чернігівської області,8,чернігівська
680,Замостянський районний суд м. Вінниці,8,вінницька
681,Болехівський міський суд Івано-Франківської області,8,івано-Франківська
682,Станично-Луганський районний суд Луганської області,8,луганська
683,Петровський районний суд м. Донецька,8,донецька
684,Гірницький районний суд м. Макіївки,7,донецька
685,Рівненський апеляційний суд,7,рівненська
686,Кіровський міський суд Донецької області,7,донецька
687,Кремінський районний суд в Луганській області,7,луганська
688,Роздольненський районний суд Автономної Республіки Крим,6,крим
689,Артемівський районний суд м. Луганська,6,луганська
690,Черкаський апеляційний суд,6,черкаська
691,Народицький районний суд Житомирської області,6,житомирська
692,Кам'янобрідський районний суд м. Луганська,6,луганська
693,Тельманівський районний суд Донецької області,6,донецька
694,Єнакіївський міський суд Донецької області,6,донецька
695,Семенівський районний суд Полтавської області,5,полтавська
696,Кіровський районний суд АРК,5,крим
697,Староміський районний суд м. Вінниці,5,вінницька
698,Брянківський міський суд Луганської області,5,луганська
699,Бахчисарайський районний суд Автономної Республіки Крим,5,крим
700,Апеляційний суд Автономної Республіки Крим (м. Феодосія),5,крим
701,Совєтський районний суд м. Макіївки,5,донецька
702,Авдіївський міський суд Донецької області,4,донецька
703,Первомайський міський суд Луганської області,4,луганська
704,Жданівський міський суд Донецької області,4,донецька
705,Кіровський районний суд м. Макіївки,4,донецька
706,Совєтський районний суд Автономної Республіки Крим,4,крим
707,Новодністровський міський суд Чернівецької області,4,чернівецька
708,Теплодарський міський суд Одеської області,4,одеська
709,Нижньогірський районний суд Автономної Ремпубліки Крим,4,крим
710,Новомиргородського районного суду Кіровоградської області,4,кіровоградська
711,Будьоннівський районний суд м. Донецька,4,донецька
712,Центрально-Міський районний суд м. Макіївка,3,донецька
713,Старобешівський районний суд Донецької області,3,донецька
714,Київський апеляційний суд,3,київська
715,Пролетарський районний суд м. Донецька,3,донецька
716,Красногвардійський районний суд АР Крим,3,крим
717,Дебальцевський міський суд Донецької області,3,донецька
718,Стахановський міський суд Луганської області,3,луганська
719,Центрально-міський районний суд м. Горлівки Донецької області,3,донецька
720,Локачинський районний суд у Волинській області,2,волинська
721,Ленінський районний суд м. Миколаєва Миколаївської області,2,миколаївська
722,Армянський міський суд Автономної Республіки Крим,2,крим
723,Нікітовський районний суд м. Горлівки,2,донецька
724,Новосанжарського районного суду Полтавської області,2,полтавська
725,Акімовський районний суд Запорізької області,2,запорізька
726,Івано-Франківський апеляційний суд,2,івано-Франківська
727,Нововоронцовськй районний суд Херсонської області,2,херсонська
728,Бердянський міськрайсуд Запорізької області,2,запорізька
729,Сколівського районного суду Львівської області,2,львівська
730,Ленінський районний суд Автономної Республіки Крим,2,крим
731,Слов'яносербський районний суд Луганської області,2,луганська
732,Кіровський районний суд Автономної Республіки Крим,2,крим
733,Жовтневий районний суд м. Луганська,2,луганська
734,Софіївський районний суду Дніпропетровської області,2,дніпропетровська
735,Докучаєвський міський суд Донецької області,2,донецька
736,Тернівський міський суд Дніпропетровської області,2,дніпропетровська
737,Слов'янського міськрайонного суду Донецької області,2,донецька
738,Кировский районний суд Автономної Республіки Крим,1,крим
739,Сватівський місцевий районний суд Луганскої області,1,луганська
740,Ворошиловський районний м. Донецька,1,донецька
741,Шевченківського районного суду м. Львова,1,львівська
742,Новомосковський міськрайонний суд Дніпропетровської,1,дніпропетровська
743,Касаційний кримінальний суд Верховного Суду,1,крим
744,Кам'ясько-Дніпровський районний суд Запорізької області,1,запорізька
745,Кам'янсько-Дніпровський районний суду Запорізької області,1,запорізька
746,Першотравневого районного суду м.Чернівці,1,чернівецька
747,Нижньосірогозького районного суду Херсонської області,1,херсонська
748,Мурованокуриловецьки районний суд Вінницької області,1,вінницька
749,Сумського районного суду Сумської області,1,сумська
750,Новоград-Волинський міськрайонний суд Житомирської,1,волинська
751,Новоград-Волинський міськрайонний суд Житомирська область,1,волинська
752,Дрогобицький міськрайонний суду Львівської області,1,львівська
753,Заводський районний суд м. Дніпродзержинська Дніпропетровської області,1,дніпропетровська
754,Нововоронцовський районний суду Херсонської області,1,херсонська
755,Новоазовського районного суду Донецької області,1,донецька
756,Тальнівського районного суду Черкаської області,1,черкаська
757,Миколаївського районного суду Львівської області,1,миколаївська
758,Київський районний суд Донецької області,1,київська
759,Київський райсуд м. Харкова,1,київська
760,Червоноармійський районний суд Донецької області,1,донецька
761,Крюківський райсуд м. Кременчука,1,полтавська
762,Ленінський районний суд у Автономної Республіки Крим,1,крим
763,Придніпровського районного суду м. Черкас,1,черкаська
764,Первомайський міськрайонний суду Харківської області,1,харківська
765,Білогірський районний суд АР Крим,1,крим
766,Павлоградський міськрайонний суд Діпропетровської області,1,дніпропетровська
767,Південний міський суд Одеської області,1,одеська
768,Радянський районний суд Автономної Республіки Крим,1,крим
769,Любарського районний суд Житомирської області,1,житомирська
770,Радянський районний суд м. Макіївки,1,донецька
771,Красноармійський міськрайонни суд Донецької області,1,донецька
772,Котовський міський районний суд Одеської області,1,одеська
773,Роздольненський районний суд АР Крим.,1,крим
774,Коломийський міськрайонний суд Івано-Франківській області,1,івано-Франківська
775,Магдалинівський районний Дніпропетровської області,1,дніпропетровська
776,Овруцького районного суду Житомирської області,1,житомирська
777,Рубіжанський суд Луганської області,1,луганська
778,Обухівського районного суду Київської області,1,київська
779,Козельщинський районний Полтавській області,1,полтавська
780,Ковельського міськрайонного суду Волинської області,1,волинська
781,Хорольського районного суду Полтавської області,1,полтавська
